unified_sample_key	branch	original_sample_id	sample_name_if_available	raw_file_name_if_available	raw_file_path_if_available	branch_cluster_label	source_assignment_file	mapping_status	notes
0	Branch_B	0	44aa45ef-4bcd-47eb-a2ef-68b614d00a51	44aa45ef-4bcd-47eb-a2ef-68b614d00a51.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/44aa45ef-4bcd-47eb-a2ef-68b614d00a51.rna_seq.augmented_star_gene_counts.tsv	3	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/clusetiong/FINAL_CLUSTERING/Branch_B_best_3/01_best_model/cluster_assignments/final_best_branch_B_cluster_assignments.tsv	Verified_Row_Order	Mapped via manifest row index
1	Branch_B	1	6efd1a34-3261-4ad3-87cc-da685ba06d2b	6efd1a34-3261-4ad3-87cc-da685ba06d2b.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/6efd1a34-3261-4ad3-87cc-da685ba06d2b.rna_seq.augmented_star_gene_counts.tsv	0	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/clusetiong/FINAL_CLUSTERING/Branch_B_best_3/01_best_model/cluster_assignments/final_best_branch_B_cluster_assignments.tsv	Verified_Row_Order	Mapped via manifest row index
2	Branch_B	2	1652c5be-f06b-4600-a1e9-3efbfa73eb4e	1652c5be-f06b-4600-a1e9-3efbfa73eb4e.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/1652c5be-f06b-4600-a1e9-3efbfa73eb4e.rna_seq.augmented_star_gene_counts.tsv	0	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/clusetiong/FINAL_CLUSTERING/Branch_B_best_3/01_best_model/cluster_assignments/final_best_branch_B_cluster_assignments.tsv	Verified_Row_Order	Mapped via manifest row index
3	Branch_B	3	f54636e5-d823-4bc2-9475-2f4f81879067	f54636e5-d823-4bc2-9475-2f4f81879067.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/f54636e5-d823-4bc2-9475-2f4f81879067.rna_seq.augmented_star_gene_counts.tsv	3	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/clusetiong/FINAL_CLUSTERING/Branch_B_best_3/01_best_model/cluster_assignments/final_best_branch_B_cluster_assignments.tsv	Verified_Row_Order	Mapped via manifest row index
4	Branch_B	4	32ee07e4-bec3-4d00-b603-60933581046c	32ee07e4-bec3-4d00-b603-60933581046c.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/32ee07e4-bec3-4d00-b603-60933581046c.rna_seq.augmented_star_gene_counts.tsv	2	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/clusetiong/FINAL_CLUSTERING/Branch_B_best_3/01_best_model/cluster_assignments/final_best_branch_B_cluster_assignments.tsv	Verified_Row_Order	Mapped via manifest row index
5	Branch_B	5	887aaafb-3913-4418-9991-1c48d4ab7629	887aaafb-3913-4418-9991-1c48d4ab7629.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/887aaafb-3913-4418-9991-1c48d4ab7629.rna_seq.augmented_star_gene_counts.tsv	0	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/clusetiong/FINAL_CLUSTERING/Branch_B_best_3/01_best_model/cluster_assignments/final_best_branch_B_cluster_assignments.tsv	Verified_Row_Order	Mapped via manifest row index
6	Branch_B	6	d561fbb1-a288-4a37-98de-65247968fa40	d561fbb1-a288-4a37-98de-65247968fa40.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/d561fbb1-a288-4a37-98de-65247968fa40.rna_seq.augmented_star_gene_counts.tsv	2	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/clusetiong/FINAL_CLUSTERING/Branch_B_best_3/01_best_model/cluster_assignments/final_best_branch_B_cluster_assignments.tsv	Verified_Row_Order	Mapped via manifest row index
7	Branch_B	7	0db34205-31a0-49e3-972d-ec4e4f7c03c5	0db34205-31a0-49e3-972d-ec4e4f7c03c5.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/0db34205-31a0-49e3-972d-ec4e4f7c03c5.rna_seq.augmented_star_gene_counts.tsv	1	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/clusetiong/FINAL_CLUSTERING/Branch_B_best_3/01_best_model/cluster_assignments/final_best_branch_B_cluster_assignments.tsv	Verified_Row_Order	Mapped via manifest row index
8	Branch_B	8	d7278caf-2bf9-48fb-adfa-d30c7b988000	d7278caf-2bf9-48fb-adfa-d30c7b988000.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/d7278caf-2bf9-48fb-adfa-d30c7b988000.rna_seq.augmented_star_gene_counts.tsv	2	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/clusetiong/FINAL_CLUSTERING/Branch_B_best_3/01_best_model/cluster_assignments/final_best_branch_B_cluster_assignments.tsv	Verified_Row_Order	Mapped via manifest row index
9	Branch_B	9	32d1cf3b-2920-479e-8025-aaacae8f8011	32d1cf3b-2920-479e-8025-aaacae8f8011.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/32d1cf3b-2920-479e-8025-aaacae8f8011.rna_seq.augmented_star_gene_counts.tsv	2	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/clusetiong/FINAL_CLUSTERING/Branch_B_best_3/01_best_model/cluster_assignments/final_best_branch_B_cluster_assignments.tsv	Verified_Row_Order	Mapped via manifest row index
