branch	branch_cluster_label	mapped_consensus_class	purity	sample_count	dominant_count
Branch_A	0	0	0.8933333333333333	75	67
Branch_A	1	3	0.9736842105263158	76	74
Branch_A	2	1	0.7272727272727273	55	40
Branch_A	3	1	0.9642857142857143	56	54
Branch_A	4	2	0.9545454545454546	66	63
Branch_B	0	0	0.8387096774193549	93	78
Branch_B	1	3	0.9726027397260274	73	71
Branch_B	2	1	0.9347826086956522	92	86
Branch_B	3	2	0.9142857142857143	70	64
Branch_C	0	0	0.9764705882352941	85	83
Branch_C	1	2	1.0	57	57
Branch_C	2	1	0.9901960784313726	102	101
Branch_C	3	3	0.9166666666666666	84	77
