unified_sample_key	branch_A_sample_id	branch_B_sample_id	branch_C_sample_id	raw_file_name	raw_file_path	uuid	mapping_method	mapping_confidence	mapping_status	notes
0	0	0	0	44aa45ef-4bcd-47eb-a2ef-68b614d00a51.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/44aa45ef-4bcd-47eb-a2ef-68b614d00a51.rna_seq.augmented_star_gene_counts.tsv	44aa45ef-4bcd-47eb-a2ef-68b614d00a51	Verified_Row_Order	High	Verified	Independent manifest-based mapping
1	1	1	1	6efd1a34-3261-4ad3-87cc-da685ba06d2b.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/6efd1a34-3261-4ad3-87cc-da685ba06d2b.rna_seq.augmented_star_gene_counts.tsv	6efd1a34-3261-4ad3-87cc-da685ba06d2b	Verified_Row_Order	High	Verified	Independent manifest-based mapping
2	2	2	2	1652c5be-f06b-4600-a1e9-3efbfa73eb4e.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/1652c5be-f06b-4600-a1e9-3efbfa73eb4e.rna_seq.augmented_star_gene_counts.tsv	1652c5be-f06b-4600-a1e9-3efbfa73eb4e	Verified_Row_Order	High	Verified	Independent manifest-based mapping
3	3	3	3	f54636e5-d823-4bc2-9475-2f4f81879067.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/f54636e5-d823-4bc2-9475-2f4f81879067.rna_seq.augmented_star_gene_counts.tsv	f54636e5-d823-4bc2-9475-2f4f81879067	Verified_Row_Order	High	Verified	Independent manifest-based mapping
4	4	4	4	32ee07e4-bec3-4d00-b603-60933581046c.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/32ee07e4-bec3-4d00-b603-60933581046c.rna_seq.augmented_star_gene_counts.tsv	32ee07e4-bec3-4d00-b603-60933581046c	Verified_Row_Order	High	Verified	Independent manifest-based mapping
5	5	5	5	887aaafb-3913-4418-9991-1c48d4ab7629.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/887aaafb-3913-4418-9991-1c48d4ab7629.rna_seq.augmented_star_gene_counts.tsv	887aaafb-3913-4418-9991-1c48d4ab7629	Verified_Row_Order	High	Verified	Independent manifest-based mapping
6	6	6	6	d561fbb1-a288-4a37-98de-65247968fa40.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/d561fbb1-a288-4a37-98de-65247968fa40.rna_seq.augmented_star_gene_counts.tsv	d561fbb1-a288-4a37-98de-65247968fa40	Verified_Row_Order	High	Verified	Independent manifest-based mapping
7	7	7	7	0db34205-31a0-49e3-972d-ec4e4f7c03c5.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/0db34205-31a0-49e3-972d-ec4e4f7c03c5.rna_seq.augmented_star_gene_counts.tsv	0db34205-31a0-49e3-972d-ec4e4f7c03c5	Verified_Row_Order	High	Verified	Independent manifest-based mapping
8	8	8	8	d7278caf-2bf9-48fb-adfa-d30c7b988000.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/d7278caf-2bf9-48fb-adfa-d30c7b988000.rna_seq.augmented_star_gene_counts.tsv	d7278caf-2bf9-48fb-adfa-d30c7b988000	Verified_Row_Order	High	Verified	Independent manifest-based mapping
9	9	9	9	32d1cf3b-2920-479e-8025-aaacae8f8011.rna_seq.augmented_star_gene_counts.tsv	/Users/ask3r/Desktop/TEKNOFEST_ONCOLOGY/DENEME/rawdata/32d1cf3b-2920-479e-8025-aaacae8f8011.rna_seq.augmented_star_gene_counts.tsv	32d1cf3b-2920-479e-8025-aaacae8f8011	Verified_Row_Order	High	Verified	Independent manifest-based mapping
